
[Name]
inner_tube inner_tube_inner_surface

[Data]
X [ m ], Y [ m ], Z [ m ], Surface Heat Transfer Coefficient [ W m^-2 K^-1 ], Yplus
3.25611047e-02, 5.78180663e-02, 3.66388001e-02, 0.00000000e+00, 2.24784657e-01
3.24817598e-02, 5.78627065e-02, 3.66386175e-02, 0.00000000e+00, 2.23559499e-01
3.24044786e-02, 5.79107329e-02, 3.66384797e-02, 0.00000000e+00, 2.21543401e-01
3.23291160e-02, 5.79614826e-02, 3.66383418e-02, 0.00000000e+00, 2.23843277e-01
3.33329365e-02, 5.74720539e-02, 3.76095846e-02, 0.00000000e+00, 2.35456586e-01
3.32403481e-02, 5.74894994e-02, 3.76097411e-02, 0.00000000e+00, 2.36577332e-01
3.31484787e-02, 5.75101376e-02, 3.76098156e-02, 0.00000000e+00, 2.40308583e-01
3.30574028e-02, 5.75339794e-02, 3.76098454e-02, 0.00000000e+00, 2.42212892e-01
3.29675302e-02, 5.75618483e-02, 3.76099385e-02, 0.00000000e+00, 2.43547469e-01
3.28787602e-02, 5.75928390e-02, 3.76099162e-02, 0.00000000e+00, 2.44580016e-01
3.27910706e-02, 5.76267391e-02, 3.76098789e-02, 0.00000000e+00, 2.45047286e-01
3.27047743e-02, 5.76638281e-02, 3.76098044e-02, 0.00000000e+00, 2.45308414e-01
3.26201506e-02, 5.77045456e-02, 3.76097187e-02, 0.00000000e+00, 2.45610565e-01
3.25371176e-02, 5.77482022e-02, 3.76096442e-02, 0.00000000e+00, 2.45352909e-01
3.24555710e-02, 5.77944778e-02, 3.76094617e-02, 0.00000000e+00, 2.43870735e-01
3.23760025e-02, 5.78439943e-02, 3.76093015e-02, 0.00000000e+00, 2.41304323e-01
3.22986208e-02, 5.78966215e-02, 3.76091599e-02, 0.00000000e+00, 2.43553385e-01
3.33319940e-02, 5.73940985e-02, 3.85804288e-02, 0.00000000e+00, 2.52942652e-01
3.32366526e-02, 5.74118234e-02, 3.85805890e-02, 0.00000000e+00, 2.54467934e-01
3.31420563e-02, 5.74329160e-02, 3.85806672e-02, 0.00000000e+00, 2.58673638e-01
3.30483057e-02, 5.74574098e-02, 3.85807008e-02, 0.00000000e+00, 2.60885239e-01
3.29557993e-02, 5.74860685e-02, 3.85807976e-02, 0.00000000e+00, 2.62381196e-01
3.28644440e-02, 5.75179718e-02, 3.85807753e-02, 0.00000000e+00, 2.63495177e-01
3.27742323e-02, 5.75529449e-02, 3.85807380e-02, 0.00000000e+00, 2.64018029e-01
3.26854400e-02, 5.75911626e-02, 3.85806561e-02, 0.00000000e+00, 2.64249414e-01
3.25984098e-02, 5.76331913e-02, 3.85805666e-02, 0.00000000e+00, 2.64443934e-01
3.25130858e-02, 5.76783605e-02, 3.85804921e-02, 0.00000000e+00, 2.64107615e-01
3.24293450e-02, 5.77262975e-02, 3.85803096e-02, 0.00000000e+00, 2.62413383e-01
3.23474742e-02, 5.77772930e-02, 3.85801196e-02, 0.00000000e+00, 2.59275377e-01
3.22680771e-02, 5.78318089e-02, 3.85799743e-02, 0.00000000e+00, 2.61409134e-01
3.33310552e-02, 5.73161431e-02, 3.95512730e-02, 0.00000000e+00, 2.68688887e-01
3.32329609e-02, 5.73341474e-02, 3.95514369e-02, 0.00000000e+00, 2.70618081e-01
3.31356451e-02, 5.73556907e-02, 3.95515189e-02, 0.00000000e+00, 2.75296092e-01
3.30392234e-02, 5.73808365e-02, 3.95515598e-02, 0.00000000e+00, 2.77809560e-01
3.29440944e-02, 5.74102812e-02, 3.95516567e-02, 0.00000000e+00, 2.79468089e-01
3.28501537e-02, 5.74430972e-02, 3.95516343e-02, 0.00000000e+00, 2.80663729e-01
3.27574275e-02, 5.74791431e-02, 3.95515971e-02, 0.00000000e+00, 2.81248331e-01
3.26661654e-02, 5.75185344e-02, 3.95515114e-02, 0.00000000e+00, 2.81474590e-01
3.25767100e-02, 5.75618185e-02, 3.95514145e-02, 0.00000000e+00, 2.81550914e-01
3.24890986e-02, 5.76084964e-02, 3.95513363e-02, 0.00000000e+00, 2.81091005e-01
3.24031711e-02, 5.76580875e-02, 3.95511538e-02, 0.00000000e+00, 2.79198319e-01
3.23190279e-02, 5.77106029e-02, 3.95509414e-02, 0.00000000e+00, 2.75498688e-01
3.22375931e-02, 5.77669665e-02, 3.95507924e-02, 0.00000000e+00, 2.77493954e-01
3.33301127e-02, 5.72381839e-02, 4.05221209e-02, 0.00000000e+00, 2.83011198e-01
3.32292691e-02, 5.72564714e-02, 4.05222848e-02, 0.00000000e+00, 2.85360813e-01
3.31292339e-02, 5.72784655e-02, 4.05223705e-02, 0.00000000e+00, 2.90514946e-01
3.30301449e-02, 5.73042594e-02, 4.05224152e-02, 0.00000000e+00, 2.93329000e-01
3.29323858e-02, 5.73344976e-02, 4.05225158e-02, 0.00000000e+00, 2.95148581e-01
3.28358635e-02, 5.73682226e-02, 4.05224934e-02, 0.00000000e+00, 2.96429396e-01
3.27406228e-02, 5.74053414e-02, 4.05224562e-02, 0.00000000e+00, 2.97080249e-01
3.26468945e-02, 5.74459024e-02, 4.05223705e-02, 0.00000000e+00, 2.97308654e-01
3.25550102e-02, 5.74904457e-02, 4.05222587e-02, 0.00000000e+00, 2.97264040e-01
3.24651115e-02, 5.75386323e-02, 4.05221842e-02, 0.00000000e+00, 2.96650708e-01
3.23769934e-02, 5.75898774e-02, 4.05220017e-02, 0.00000000e+00, 2.94585973e-01
3.22907157e-02, 5.76441064e-02, 4.05217856e-02, 0.00000000e+00, 2.90373594e-01
3.22071090e-02, 5.77021241e-02, 4.05216105e-02, 0.00000000e+00, 2.92199939e-01
3.33291739e-02, 5.71602285e-02, 4.14929651e-02, 0.00000000e+00, 2.95977592e-01
3.32255810e-02, 5.71787953e-02, 4.14931327e-02, 0.00000000e+00, 2.98804343e-01
3.31228264e-02, 5.72012402e-02, 4.14932184e-02, 0.00000000e+00, 3.04446876e-01
3.30210701e-02, 5.72277121e-02, 4.14932743e-02, 0.00000000e+00, 3.07570189e-01
3.29206772e-02, 5.72587103e-02, 4.14933749e-02, 0.00000000e+00, 3.09550464e-01
3.28215770e-02, 5.72933443e-02, 4.14933562e-02, 0.00000000e+00, 3.10907066e-01
3.27238180e-02, 5.73315397e-02, 4.14933190e-02, 0.00000000e+00, 3.11620921e-01
3.26276235e-02, 5.73732741e-02, 4.14932258e-02, 0.00000000e+00, 3.11847240e-01
3.25333253e-02, 5.74190989e-02, 4.14931066e-02, 0.00000000e+00, 3.11695158e-01
3.24411243e-02, 5.74687645e-02, 4.14930284e-02, 0.00000000e+00, 3.10907274e-01
3.23508196e-02, 5.75216636e-02, 4.14928459e-02, 0.00000000e+00, 3.08640331e-01
3.22624594e-02, 5.75776920e-02, 4.14926298e-02, 0.00000000e+00, 3.03946853e-01
3.21766250e-02, 5.76372854e-02, 4.14924286e-02, 0.00000000e+00, 3.05570066e-01
3.33282314e-02, 5.70822731e-02, 4.24638093e-02, 0.00000000e+00, 3.07797283e-01
3.32218893e-02, 5.71011193e-02, 4.24639806e-02, 0.00000000e+00, 3.11134130e-01
3.31164151e-02, 5.71240112e-02, 4.24640700e-02, 0.00000000e+00, 3.17282230e-01
3.30119990e-02, 5.71511798e-02, 4.24641334e-02, 0.00000000e+00, 3.20728332e-01
3.29089724e-02, 5.71829230e-02, 4.24642339e-02, 0.00000000e+00, 3.22878242e-01
3.28072906e-02, 5.72184697e-02, 4.24642116e-02, 0.00000000e+00, 3.24309975e-01
3.27070132e-02, 5.72577342e-02, 4.24641781e-02, 0.00000000e+00, 3.25090110e-01
3.26083526e-02, 5.73006421e-02, 4.24640812e-02, 0.00000000e+00, 3.25314879e-01
3.25116403e-02, 5.73477522e-02, 4.24639545e-02, 0.00000000e+00, 3.25060695e-01
3.24171372e-02, 5.73989004e-02, 4.24638763e-02, 0.00000000e+00, 3.24081272e-01
3.23246494e-02, 5.74534535e-02, 4.24636938e-02, 0.00000000e+00, 3.21562916e-01
3.22342068e-02, 5.75112738e-02, 4.24634777e-02, 0.00000000e+00, 3.16376001e-01
3.21461409e-02, 5.75724430e-02, 4.24632430e-02, 0.00000000e+00, 3.17745686e-01
3.33272927e-02, 5.70043139e-02, 4.34346572e-02, 0.00000000e+00, 3.18634570e-01
3.32181267e-02, 5.70234582e-02, 4.34348285e-02, 0.00000000e+00, 3.22454751e-01
3.31098586e-02, 5.70468232e-02, 4.34349179e-02, 0.00000000e+00, 3.29112500e-01
3.30027044e-02, 5.70747070e-02, 4.34349924e-02, 0.00000000e+00, 3.32892269e-01
3.28969620e-02, 5.71072325e-02, 4.34350930e-02, 0.00000000e+00, 3.35233778e-01
3.27926166e-02, 5.71437329e-02, 4.34350744e-02, 0.00000000e+00, 3.36750537e-01
3.26897502e-02, 5.71841300e-02, 4.34350409e-02, 0.00000000e+00, 3.37603569e-01
3.25885564e-02, 5.72282933e-02, 4.34349440e-02, 0.00000000e+00, 3.37843359e-01
3.24893408e-02, 5.72767146e-02, 4.34348099e-02, 0.00000000e+00, 3.37481618e-01
3.23924646e-02, 5.73294125e-02, 4.34347317e-02, 0.00000000e+00, 3.36309135e-01
3.22977267e-02, 5.73857054e-02, 4.34345528e-02, 0.00000000e+00, 3.33532572e-01
3.22051495e-02, 5.74454144e-02, 4.34343480e-02, 0.00000000e+00, 3.27861995e-01
3.21148969e-02, 5.75083792e-02, 4.34340984e-02, 0.00000000e+00, 3.28984201e-01
3.33263502e-02, 5.69263585e-02, 4.44055013e-02, 0.00000000e+00, 3.28549266e-01
3.32144499e-02, 5.69457822e-02, 4.44056764e-02, 0.00000000e+00, 3.32854182e-01
3.31034735e-02, 5.69695942e-02, 4.44057696e-02, 0.00000000e+00, 3.40033621e-01
3.29936706e-02, 5.69981635e-02, 4.44058515e-02, 0.00000000e+00, 3.44159931e-01
3.28852907e-02, 5.70314340e-02, 4.44059521e-02, 0.00000000e+00, 3.46702456e-01
