cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,     temperature
        25,-1.823749044E-04,-7.902392186E-03, 9.236305952E-02, 4.184559902E+02
        26,-2.019593376E-04,-7.868004963E-03, 9.237153083E-02, 4.184559902E+02
        27,-2.279923501E-04,-7.879811339E-03, 9.237594157E-02, 4.184559902E+02
        28,-1.760941668E-04,-7.815782912E-03, 9.249193221E-02, 4.153665177E+02
        29,-1.303550816E-04,-7.869421504E-03, 9.291487187E-02, 4.153897025E+02
        30,-1.053437300E-04,-7.903915830E-03, 9.310522676E-02, 4.153897025E+02
        31,-7.930810534E-05,-7.903121412E-03, 9.319141507E-02, 4.153897025E+02
        32,-2.603756548E-05,-7.927899249E-03, 9.329097718E-02, 4.123845746E+02
        33,-2.428804146E-04,-7.913517766E-03, 9.237594157E-02, 4.184602068E+02
        34,-1.823750354E-04,-7.902392186E-03, 9.277725965E-02, 4.153905923E+02
        35,-2.085192391E-04,-7.880196907E-03, 9.255974740E-02, 4.153905923E+02
        36,-2.020658430E-04,-7.846324705E-03, 9.249193221E-02, 4.153905923E+02
        37,-2.428804291E-04,-7.913517766E-03, 9.244638681E-02, 4.153917021E+02
         1,-4.038807674E-05, 8.001958951E-03, 1.064866409E-01, 3.285082509E+02
         2,-1.208449321E-04, 7.996601053E-03, 1.064787731E-01, 3.285243640E+02
         3,-4.038807674E-05, 8.001958951E-03, 1.062178686E-01, 3.287553631E+02
         4,-2.003700793E-04, 7.987616584E-03, 1.064632088E-01, 3.285569318E+02
         5,-1.208449321E-04, 7.996600121E-03, 1.062235683E-01, 3.287715335E+02
         6,-2.784385288E-04, 7.975524291E-03, 1.064399257E-01, 3.286057669E+02
         7,-2.003700647E-04, 7.987615652E-03, 1.062349603E-01, 3.288042176E+02
         8,-3.691023448E-04, 7.953953929E-03, 1.063948795E-01, 3.286608019E+02
         9,-2.784385288E-04, 7.975524291E-03, 1.062520370E-01, 3.288532262E+02
        10,-3.691023448E-04, 7.953953929E-03, 1.062853038E-01, 3.289080884E+02
        11,-3.173775913E-04, 7.620467339E-03, 1.063260734E-01, 3.273070149E+02
        12,-3.374454391E-04, 7.676917128E-03, 1.063082591E-01, 3.274544328E+02
        13,-2.726559760E-04, 7.605205756E-03, 1.063130945E-01, 3.271393090E+02
        14,-3.173772711E-04, 7.620467339E-03, 1.063383594E-01, 3.270727150E+02
        15,-1.626417798E-04, 7.526194677E-03, 1.063291505E-01, 3.268420410E+02
        16,-3.664883552E-04, 7.777338848E-03, 1.062828004E-01, 3.275501440E+02
        17,-2.721327473E-04, 7.679427508E-03, 1.062644422E-01, 3.273035519E+02
        18,-3.374444204E-04, 7.676917128E-03, 1.063627377E-01, 3.272196775E+02
        19,-1.818132005E-04, 7.596403826E-03, 1.062807739E-01, 3.270778825E+02
        20,-2.079173573E-04, 7.571558934E-03, 1.063098609E-01, 3.270778825E+02
        21,-1.885944366E-04, 7.537940517E-03, 1.063290760E-01, 3.270778825E+02
        22,-2.726550738E-04, 7.605205756E-03, 1.063561738E-01, 3.269057375E+02
        23,-1.171284675E-04, 7.520958781E-03, 1.063233465E-01, 3.267948949E+02
        24,-1.626416779E-04, 7.526194211E-03, 1.063351259E-01, 3.266094185E+02
        25,-3.847042390E-04, 7.878401317E-03, 1.062672809E-01, 3.275949016E+02
        26,-2.713935100E-04, 7.781518623E-03, 1.062135994E-01, 3.274099601E+02
        27,-3.664869582E-04, 7.777338382E-03, 1.063976511E-01, 3.273150894E+02
        28,-1.943843672E-04, 7.681155112E-03, 1.062289700E-01, 3.272490971E+02
        29,-2.721301571E-04, 7.679427508E-03, 1.064222977E-01, 3.270694355E+02
        30,-1.169480092E-04, 7.580686826E-03, 1.062749624E-01, 3.270371734E+02
        31,-1.818113378E-04, 7.596403826E-03, 1.064005867E-01, 3.268445085E+02
        32,-1.884423400E-04, 7.562272716E-03, 1.063610390E-01, 3.268445085E+02
        33,-2.144057798E-04, 7.571430411E-03, 1.063575223E-01, 3.268445085E+02
        34,-3.904954792E-05, 7.515783887E-03, 1.063171327E-01, 3.267765575E+02
        35,-1.171282638E-04, 7.520959247E-03, 1.063433811E-01, 3.265623334E+02
        36,-2.706531959E-04, 7.883609273E-03, 1.061826348E-01, 3.274609713E+02
        37,-3.847036569E-04, 7.878401317E-03, 1.064190492E-01, 3.273597432E+02
        38,-1.938547939E-04, 7.783165667E-03, 1.061786264E-01, 3.273602367E+02
        39,-2.713905997E-04, 7.781518158E-03, 1.064914167E-01, 3.271754999E+02
        40,-1.166308139E-04, 7.682692725E-03, 1.062051281E-01, 3.272127880E+02
        41,-1.943813695E-04, 7.681155112E-03, 1.064707339E-01, 3.270151813E+02
        42,-3.898271461E-05, 7.582229096E-03, 1.062623635E-01, 3.270188125E+02
        43,-1.169467287E-04, 7.580686826E-03, 1.064088643E-01, 3.268039164E+02
        44,-3.904941332E-05, 7.515783422E-03, 1.063524857E-01, 3.265439165E+02
        45,-1.933244930E-04, 7.885176688E-03, 1.061481312E-01, 3.274143446E+02
        46,-2.706520027E-04, 7.883609273E-03, 1.065335646E-01, 3.272263779E+02
        47,-1.163129855E-04, 7.784699555E-03, 1.061551571E-01, 3.273269100E+02
        48,-1.938520436E-04, 7.783165667E-03, 1.065390110E-01, 3.271259859E+02
