"report-file-0"
"Iteration" "cs-temp etc.."
("Iteration" "cs-temp" "max-temp" "cs-htc" "p-in")
116 613.6759406514174 886.0343627929688 29119.27200411776 9893238.819945116
117 613.7114972763445 886.0763549804688 29111.83609499396 9893239.962468958
118 613.7433187883927 886.1144409179688 29105.40722119276 9893241.065339146
119 613.7686195602121 886.1439208984375 29100.19631307893 9893242.334161334
120 613.7993200985539 886.1793212890625 29093.13950279437 9893243.425735017
121 613.8290054797314 886.2132568359375 29086.87281139092 9893244.116501007
122 613.8534553598939 886.2406005859375 29081.40687912644 9893244.839223338
123 613.8781563428744 886.2681884765625 29075.25860569228 9893245.658302277
124 613.9065679452278 886.3009643554688 29068.57375324336 9893246.620683033
125 613.9267085727395 886.323486328125 29064.23453262867 9893247.724050274
126 613.9514173286474 886.3513793945313 29058.08226038663 9893248.804946993
127 613.9749063078476 886.3781127929688 29052.85361284479 9893251.492085498
128 613.9983780918053 886.4046630859375 29047.53328138793 9893252.523752693
129 614.0208295132838 886.4302978515625 29042.38547947566 9893253.364894522
130 614.0443081106481 886.4578857421875 29037.04296004354 9893254.21639391
131 614.0640805909608 886.480712890625 29032.80789277818 9893255.065166546
132 614.0834332391602 886.5029907226563 29028.2671463125 9893255.734616658
133 614.102071826171 886.5243530273438 29023.98974681483 9893257.858639685
134 614.1224449380078 886.5479736328125 29019.35599767232 9893258.52062883
135 614.1401470269508 886.568115234375 29015.52271744837 9893258.964377649
136 614.1574242864227 886.5877075195313 29011.39504529586 9893260.204487983
137 614.1758502256304 886.609130859375 29007.12587630892 9893261.128792699
138 614.1916337833469 886.627197265625 29003.67140733168 9893261.684086833
139 614.2084751637499 886.6467895507813 28999.69057328519 9893262.730098339
140 614.2232616256955 886.6635131835938 28996.43995374523 9893263.298469663
141 614.2392831849734 886.6820068359375 28992.63274928857 9893263.814452725
142 614.2544859831181 886.6995239257813 28989.2615827013 9893264.468577242
143 614.2678545087953 886.714599609375 28986.16992508871 9893265.151929539
144 614.2828298615286 886.73193359375 28982.55491832265 9893265.815205818
145 614.296454041656 886.74755859375 28979.55395734222 9893266.470693817
146 614.3095327142724 886.7626342773438 28976.49601989167 9893267.526397066
147 614.3210845584023 886.7755737304688 28973.77876346179 9893268.735431725
148 614.3338422392449 886.7901611328125 28970.67443274345 9893269.232445797
149 614.3458616355998 886.8040161132813 28967.96893183615 9893269.880120793
150 614.3563679852709 886.8157958984375 28965.52363911729 9893270.711681867
151 614.3668675303105 886.82763671875 28962.95658322538 9893271.238277035
